expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,71.68,92.45,97.66,102.83,105.32,103.41,99.46,98.08,96.80,92.98,92.11,90.80
3Mo,75.94,95.03,99.53,103.22,106.28,103.85,99.71,98.31,95.98,92.02,90.34,89.56
6Mo,90.49,103.48,104.22,105.52,106.60,103.83,100.43,98.74,96.45,92.62,90.95,90.37
9Mo,99.27,106.19,106.31,106.21,106.20,103.08,100.05,98.44,96.22,92.60,91.06,90.51
1Yr,106.70,107.39,106.78,106.19,105.68,102.32,99.64,98.01,95.86,92.40,90.99,90.62
2Yr,110.58,108.23,106.87,105.48,103.63,100.68,97.93,96.45,94.30,91.43,90.24,89.91
3Yr,108.10,105.66,104.43,102.79,101.18,98.95,97.93,96.45,94.30,91.43,90.24,89.91
4Yr,104.39,102.70,101.40,100.07,98.72,96.85,96.43,95.09,92.92,90.57,89.33,88.63
5Yr,102.57,100.57,99.32,97.94,97.10,95.35,93.60,92.13,89.98,87.62,86.59,86.22
6Yr,100.04,98.18,97.09,96.28,95.47,93.83,92.27,90.82,88.72,86.40,85.28,85.02
7Yr,98.35,96.30,95.53,94.77,94.12,92.58,90.79,89.41,87.23,85.08,84.15,83.71
8Yr,96.47,94.78,93.85,93.20,92.49,90.88,89.04,87.64,85.43,83.44,82.60,82.31
9Yr,94.81,93.20,92.19,91.50,90.89,89.25,87.34,85.97,83.82,81.92,81.12,81.00
10Yr,93.35,91.79,90.80,90.00,89.29,87.61,85.51,84.19,81.92,80.39,79.43,79.43
12Yr,89.92,88.61,87.62,86.76,85.82,84.33,82.69,80.62,78.97,76.65,76.43,76.43
15Yr,84.88,83.96,82.89,81.90,80.76,79.27,77.41,76.19,74.39,72.81,72.14,72.21
20Yr,77.99,76.28,75.45,74.52,73.61,72.41,69.40,68.68,68.07,67.61,67.18,67.21
25Yr,75.61,74.31,73.51,72.50,71.49,69.93,67.90,67.17,66.54,66.06,65.75,65.89
30Yr,72.09,72.87,71.71,70.85,70.05,67.82,64.44,64.09,63.85,63.56,63.67,63.92
