contract,price,cvx_adj,implied_rate
1SEP 25-1,95.6950,0.02805,4.17348
2OCT 25-1,95.8550,0.08620,4.14186
3NOV 25-1,96.0800,0.09750,4.09200
4DEC 25-1,96.2550,0.12050,4.03560
5DEC 25+1,96.2100,0.56202,3.79952
6JAN 26+1,96.4310,0.33688,3.68837
7FEB 26+1,96.4350,-0.11445,3.56649
8DEC 25-3,96.3500,0.07065,3.64929
9MAR 26+1,96.4850,0.37004,3.51820
10APR 26+1,96.5700,0.35693,3.43357
11MAY 26+1,96.6400,0.31623,3.36316
12MAR 26+2,96.5850,-0.16678,3.41333
13JUN 26+1,96.7000,0.25154,3.30253
14JUL 26+1,96.7950,0.20397,3.20704
15AUG 26+1,96.8600,-0.00287,3.13997
16JUN 26-3,96.8150,-0.29987,3.18200
17SEP 26+1,96.8900,0.07051,3.11027
18OCT 26+1,96.9450,0.10462,3.05516
19NOV 26+1,96.9800,-0.14079,3.01859
20SEP 26-3,96.9500,-0.46920,3.04531
21DEC 26+1,96.9950,-0.11227,3.00388
22JAN 27+1,97.0300,-0.27720,2.96723
23FEB 27+1,97.0450,-0.29006,2.95208
24DEC 26-3,97.0050,-0.67396,2.98826
25MAR 27+1,97.0250,-0.31667,2.97183
26APR 27+1,97.0550,-0.41189,2.94588
27MAY 27+1,97.0250,-0.42324,2.97710
28JUN 27+1,96.9950,-0.56122,2.99380
