term,bid,ask
1WK,3.70175,3.81225
2WK,3.79515,3.80485
3WK,3.76871,3.77329
1MO,3.74371,3.74861
2MO,3.70429,3.70931
3MO,3.68619,3.69181
4MO,3.65396,3.66014
5MO,3.62865,3.60955
6MO,3.60600,3.60955
7MO,3.56358,3.57662
8MO,3.55315,3.54085
9MO,3.50859,3.51572
10MO,3.48122,3.49506
11MO,3.45190,3.46280
12MO,3.43270,3.43906
13MO,3.41676,3.42245
2YR,3.28545,3.29752
3YR,3.34084,3.29752
4YR,3.40104,3.41452
5YR,3.47141,3.47452
6YR,3.54238,3.55131
7YR,3.61022,3.61388
8YR,3.67582,3.68388
10YR,3.47900,3.68388
12YR,3.85629,3.85991
15YR,3.85629,3.99721
20YR,4.13220,4.13640
25YR,4.10887,4.11312
40YR,4.00858,4.01916
45YR,3.89156,3.91312
