term,market_rate,zero_rate,discount_factor
1 WK,3.65881,3.70831,0.999086
2 WK,3.67700,3.72327,0.998369
3 WK,3.67650,3.72224,0.997657
1 MO,3.68150,3.72561,0.996637
2 MO,3.69034,3.72926,0.990234
3 MO,3.69850,3.73139,0.987403
4 MO,3.70400,3.73169,0.984298
5 MO,3.70490,3.72685,0.981118
6 MO,3.70470,3.72071,0.978263
7 MO,3.70300,3.71366,0.975239
8 MO,3.70005,3.70501,0.972239
9 MO,3.69710,3.69639,0.969352
10 MO,3.69502,3.68884,0.966209
11 MO,3.69160,3.67946,0.963551
12 MO,3.68990,3.67269,0.963551
18 MO,3.63080,3.62590,0.946735
2 YR,3.59144,3.57510,0.930721
3 YR,3.53790,3.52142,0.899486
4 YR,3.53165,3.51567,0.868562
5 YR,3.55520,3.54089,0.837499
6 YR,3.59675,3.58534,0.805969
7 YR,3.64310,3.63556,0.774926
8 YR,3.69070,3.68774,0.744216
9 YR,3.73800,3.74026,0.713885
10 YR,3.78455,3.79269,0.684006
12 YR,3.87545,3.89749,0.625974
15 YR,3.98750,4.03127,0.545882
20 YR,4.08115,4.14379,0.436244
25 YR,4.08984,4.13953,0.354946
30 YR,4.06000,4.07446,0.294212
40 YR,3.96050,3.87135,0.212243
