instrument_type,term,bid,ask
cash,1D,3.65000,3.65000
swap,1W,3.65183,3.66196
swap,2W,3.66972,3.68136
swap,3W,3.67101,3.67633
swap,1M,3.67177,3.68203
swap,2M,3.67796,3.68797
swap,3M,3.68237,3.69363
swap,4M,3.67641,3.69629
swap,5M,3.66961,3.69299
swap,6M,3.66671,3.68539
swap,7M,3.65886,3.67914
swap,8M,3.65134,3.67246
swap,9M,3.64561,3.66268
swap,10M,3.63760,3.65740
swap,11M,3.62856,3.64744
swap,12M,3.62493,3.64197
swap,18M,3.54812,3.56698
swap,2Y,3.50648,3.51782
swap,3Y,3.46682,3.47628
swap,4Y,3.46634,3.47836
swap,5Y,3.49791,3.50866
swap,6Y,3.54451,3.55549
swap,7Y,3.59617,3.60672
swap,8Y,3.64622,3.65778
swap,9Y,3.69774,3.70926
swap,10Y,3.73999,3.75071
swap,12Y,3.83531,3.84669
swap,15Y,3.95219,3.96381
swap,20Y,4.04942,4.06168
swap,25Y,4.06088,4.07462
swap,30Y,4.03423,4.04617
swap,40Y,3.92887,3.95343
swap,50Y,3.81551,3.84949
